date,line,passengers,ticket_income,operation_cost,maintenance_cost
2025-01-27,5号线,55389.0,224845.94,174799.12,40019.78
2025-01-27,6号线,23631.0,99735.52,71424.33,13686.53
2025-01-27,7号线,49205.0,184844.93,136485.62,30535.67
2025-01-27,8号线,44826.0,169169.49,126758.41,27906.76
2025-01-27,9号线,50818.0,214502.05,151976.43,32364.37
2025-01-27,14号线,50585.0,194086.45,154221.5,27038.14
2025-01-27,21号线,17817.0,73184.97,51268.08,
2025-01-28,1号线,16576.0,63462.35,41641.11,6500.55
2025-01-28,2号线,65005.0,269302.72,162414.13,51930.14
2025-01-28,3号线,9834.0,40864.3,27665.93,7564.54
2025-01-28,4号线,39242.0,157693.81,116568.2,
2025-01-28,5号线,49592.0,187654.14,126052.79,23534.9
2025-01-28,6号线,21470.0,88288.01,65280.43,15030.89
2025-01-28,7号线,60429.0,221269.02,144099.55,35657.81
2025-01-28,8号线,12163.0,46980.38,28665.25,8863.4
2025-01-28,9号线,19750.0,86901.37,63820.82,11541.83
2025-01-28,14号线,51667.0,210360.17,151073.66,21677.62
2025-01-28,21号线,57378.0,225669.77,158972.77,
2025-01-29,1号线,12988.0,53299.36,40955.47,6365.97
2025-01-29,2号线,51117.0,210948.81,157202.9,41680.36
2025-01-29,3号线,23485.0,84590.15,63341.83,10581.05
2025-01-29,4号线,38958.0,-168776.2,107115.31,19517.9
2025-01-29,5号线,66092.0,269721.21,197446.57,34522.53
2025-01-29,6号线,16191.0,65498.58,45006.34,11331.51
2025-01-29,7号线,71964.0,284064.85,,37252.64
2025-01-29,8号线,75324.0,310333.32,207693.95,45453.71
2025-01-29,9号线,35457.0,145548.21,87774.44,28140.82
2025-01-29,14号线,20625.0,86252.67,54562.31,9233.94
2025-01-29,21号线,41263.0,161872.16,127562.72,25502.54
2025-01-30,1号线,,91045.56,64562.53,17676.18
2025-01-30,2号线,42773.0,176150.47,115341.96,
2025-01-30,3号线,12722.0,-51416.21,34129.83,9485.65
2025-01-30,4号线,75737.0,276948.63,204548.19,37342.0
2025-01-30,5号线,22110.0,91010.57,69231.39,11667.87
2025-01-30,6号线,63559.0,230408.13,164784.42,39898.57
2025-01-30,7号线,31526.0,122374.02,,23627.45
2025-01-30,8号线,76940.0,290661.41,217409.43,
2025-01-30,9号线,65148.0,272721.7,208711.6,36000.62
2025-01-30,14号线,79222.0,,,46686.8
2025-01-30,21号线,65118.0,287722.41,189506.11,38228.66
2025-01-31,1号线,20406.0,82641.5,64971.58,16315.48
2025-01-31,2号线,19975.0,,64179.66,17047.11
2025-01-31,3号线,,263573.34,163474.65,28574.16
2025-01-31,4号线,53864.0,200839.62,156329.42,23028.37
2025-01-31,5号线,72160.0,281750.43,222427.79,55955.66
2025-01-31,6号线,45156.0,197429.06,133382.58,33663.32
2025-01-31,7号线,34222.0,136856.77,94941.94,14456.23
2025-01-31,8号线,70030.0,287627.59,215387.71,48351.33
2025-01-31,9号线,67694.0,237481.47,146425.91,36295.96
2025-01-31,14号线,79380.0,317719.92,195321.28,49369.05
2025-01-31,21号线,22169.0,84388.02,67440.06,14320.02
2025-02-01,1号线,77991.0,327192.67,236896.17,
2025-02-01,2号线,49604.0,214181.58,138335.37,27114.06
2025-02-01,3号线,11997.0,48857.73,37266.67,8231.21
2025-02-01,4号线,32576.0,142236.32,111875.37,26542.21
2025-02-01,5号线,47539.0,187472.7,142874.94,37256.0
2025-02-01,6号线,67840.0,290846.14,222739.52,45636.13
2025-02-01,7号线,,87598.13,,9253.65
2025-02-01,8号线,,177619.24,133211.26,33981.5
2025-02-01,9号线,32062.0,132241.96,91261.35,14932.23
2025-02-01,14号线,50300.0,194449.5,150823.61,34164.76
2025-02-01,21号线,30122.0,118871.88,91088.46,15545.79
2025-02-02,1号线,63854.0,277833.11,215412.54,38993.4
2025-02-02,2号线,47208.0,182646.95,138251.62,29942.43
2025-02-02,3号线,65168.0,271133.45,215847.32,43600.64
2025-02-02,4号线,15469.0,62236.15,46383.32,9630.71
2025-02-02,5号线,63548.0,271152.27,196427.41,50498.41
2025-02-02,6号线,55848.0,221783.03,,23647.3
2025-02-02,7号线,21588.0,83751.7,59960.35,11235.82
2025-02-02,8号线,14464.0,59266.74,39657.36,11241.65
2025-02-02,9号线,39152.0,160554.89,102507.52,16711.65
2025-02-02,14号线,46905.0,183036.07,129385.4,
2025-02-02,21号线,59431.0,227993.04,151459.55,24903.47
2025-02-03,1号线,30294.0,122472.46,94881.34,23525.4
2025-02-03,2号线,63935.0,245827.11,195986.01,37773.56
2025-02-03,3号线,12442.0,48994.79,33011.85,7165.66
2025-02-03,4号线,27818.0,106907.29,82199.75,18704.67
2025-02-03,5号线,76081.0,289784.31,204739.41,36004.85
2025-02-03,6号线,47611.0,189988.93,126231.65,23016.17
2025-02-03,7号线,169107.0,227806.18,152307.88,33577.95
2025-02-03,8号线,17546.0,75377.42,46536.82,11586.31
2025-02-03,9号线,21900.0,,59129.61,12135.45
2025-02-03,14号线,74630.0,311054.07,201833.85,46603.6
2025-02-03,21号线,12959.0,48573.33,33882.91,8990.04
2025-02-04,1号线,24334.0,101754.43,79722.47,10229.37
2025-02-04,2号线,9384.0,36536.45,26807.84,7049.26
2025-02-04,3号线,8952.0,40492.94,31087.1,4879.71
2025-02-04,4号线,37043.0,134800.35,94565.42,16747.73
2025-02-04,5号线,65757.0,273519.35,195907.59,
2025-02-04,6号线,56509.0,221430.97,138811.29,23546.41
2025-02-04,7号线,12984.0,49306.43,30450.35,5615.14
2025-02-04,8号线,29006.0,110084.62,79395.27,19752.37
2025-02-04,9号线,52961.0,212790.88,135387.48,22694.07
2025-02-04,14号线,16307.0,66849.87,50144.11,
2025-02-04,21号线,26911.0,113214.15,79772.17,15383.88
2025-02-05,1号线,28172.0,117335.82,81007.44,20108.81
2025-02-05,2号线,40411.0,158803.0,119026.32,23863.65
2025-02-05,3号线,25573.0,94040.05,66427.21,10030.49
2025-02-05,4号线,10809.0,46332.74,30883.7,8018.11
2025-02-05,5号线,70222.0,,210881.17,56514.88
2025-02-05,6号线,58537.0,,145661.3,39099.02
2025-02-05,7号线,89521.0,365282.11,283222.62,49023.84
2025-02-05,8号线,63420.0,241265.36,183231.17,27743.52
2025-02-05,9号线,27830.0,108684.0,65475.66,17372.52
2025-02-05,14号线,21308.0,82333.0,56375.0,10603.91
2025-02-05,21号线,,47366.82,,7545.36
2025-02-06,1号线,,242182.81,189992.38,41346.38
2025-02-06,2号线,58572.0,249538.38,153162.74,26883.3
2025-02-06,3号线,52538.0,205210.47,129919.59,24344.55
2025-02-06,4号线,25643.0,96933.84,62568.77,15585.94
2025-02-06,5号线,21351.0,83581.13,63569.36,8396.83
2025-02-06,6号线,22736.0,86635.35,66943.45,16659.63
2025-02-06,7号线,20365.0,78126.35,53941.84,
2025-02-06,8号线,85579.0,330365.47,216560.33,40307.8
2025-02-06,9号线,23571.0,96719.68,76622.69,11109.83
2025-02-06,14号线,63543.0,268528.26,171023.66,34897.82
2025-02-06,21号线,11775.0,,30200.84,8929.05
2025-02-07,1号线,14804.0,57517.73,38855.83,10563.5
2025-02-07,2号线,31407.0,119342.7,84199.8,18312.61
2025-02-07,3号线,53981.0,193539.26,122132.58,22874.95
2025-02-07,4号线,22007.0,90350.9,59102.95,
2025-02-07,5号线,70254.0,250465.01,162997.05,29958.45
2025-02-07,6号线,69388.0,284343.34,207726.81,35206.9
2025-02-07,7号线,84293.0,344258.08,272834.81,66937.88
2025-02-07,8号线,63607.0,276877.29,215558.48,50320.88
2025-02-07,9号线,28694.0,104715.27,68443.23,17007.32
2025-02-07,14号线,8930.0,,25532.02,7550.23
2025-02-07,21号线,30469.0,121687.35,92478.86,17343.04
2025-02-08,1号线,53772.0,,159813.19,30299.45
2025-02-08,2号线,34328.0,136048.84,108414.66,20756.84
2025-02-08,3号线,55356.0,227533.79,161739.12,37575.39
2025-02-08,4号线,10577.0,40383.76,30143.93,5050.92
2025-02-08,5号线,51123.0,209709.58,164177.93,29752.98
2025-02-08,6号线,36912.0,147840.61,,25695.2
2025-02-08,7号线,29680.0,117398.99,72041.89,21567.12
2025-02-08,8号线,36757.0,134136.78,93253.24,22315.95
2025-02-08,9号线,14779.0,55808.12,36497.52,8593.57
2025-02-08,14号线,79122.0,320169.96,253269.57,36969.13
2025-02-08,21号线,55285.0,,137656.42,38680.59
2025-02-09,1号线,47387.0,204723.58,141655.67,22026.89
2025-02-09,2号线,,,111329.36,27052.49
2025-02-09,3号线,67533.0,262102.81,207695.44,46916.76
2025-02-09,4号线,40285.0,159317.14,112857.11,29839.24
2025-02-09,5号线,23499.0,,73162.79,18320.99
2025-02-09,6号线,26587.0,110253.38,81437.01,11594.2
2025-02-09,7号线,39564.0,159899.39,101714.41,25071.35
2025-02-09,8号线,56772.0,220419.91,140742.48,24583.04
2025-02-09,9号线,51581.0,213354.5,164796.83,39354.29
2025-02-09,14号线,,234403.01,171122.04,31988.91
2025-02-09,21号线,40698.0,173193.81,129021.31,18451.31
2025-02-10,1号线,,290961.84,213080.38,50564.97
2025-02-10,2号线,59662.0,224492.18,176567.13,24021.33
2025-02-10,3号线,26306.0,102302.86,73264.34,13009.72
2025-02-10,4号线,19697.0,84513.46,57830.15,14684.91
2025-02-10,5号线,42695.0,169630.03,111854.14,31429.42
2025-02-10,6号线,34615.0,130101.2,95745.3,15849.63
2025-02-10,7号线,49563.0,206200.49,147992.33,40875.75
2025-02-10,8号线,66308.0,274181.19,198145.88,31997.88
2025-02-10,9号线,80638.0,348696.59,244972.5,42913.04
2025-02-10,14号线,68684.0,273306.69,216309.69,49911.42
2025-02-10,21号线,53334.0,219431.87,154403.69,35049.28
2025-02-11,1号线,38937.0,146608.94,110198.27,24865.18
2025-02-11,2号线,32668.0,134807.32,86918.84,20719.54
2025-02-11,3号线,54063.0,206754.52,135339.83,30530.96
2025-02-11,4号线,29102.0,,87148.72,
2025-02-11,5号线,,,98625.46,27389.89
2025-02-11,6号线,18872.0,76332.67,58794.58,11412.85
2025-02-11,7号线,12583.0,52503.31,38454.6,8105.35
2025-02-11,8号线,16659.0,68457.76,43228.89,7943.84
2025-02-11,9号线,,172397.3,109962.64,32438.92
2025-02-11,14号线,58710.0,236562.71,157792.95,41244.9
2025-02-11,21号线,33298.0,135476.97,88295.44,16164.2
2025-02-12,1号线,75058.0,271821.86,169390.89,37421.59
2025-02-12,2号线,54384.0,,136619.91,38717.89
2025-02-12,3号线,43914.0,173580.16,117762.03,20473.73
2025-02-12,4号线,35023.0,141451.52,93385.26,24162.35
2025-02-12,5号线,60514.0,253735.38,183750.88,26534.18
2025-02-12,6号线,93625.0,360645.85,259260.79,49899.4
2025-02-12,7号线,233757.0,310651.36,228844.14,44917.16
2025-02-12,8号线,38472.0,153518.44,95248.79,28465.54
2025-02-12,9号线,83994.0,352561.6,227103.94,38160.6
2025-02-12,14号线,54329.0,226795.95,179207.97,26105.53
2025-02-12,21号线,43254.0,178494.27,129891.21,24946.26
2025-02-13,1号线,,232644.17,154510.29,40117.69
2025-02-13,2号线,12403.0,48897.71,36330.25,7641.49
2025-02-13,3号线,,138551.33,88271.76,25890.02
2025-02-13,4号线,77663.0,292220.37,206328.29,29744.0
2025-02-13,5号线,73198.0,303171.53,230200.4,44915.54
2025-02-13,6号线,18464.0,76094.45,54155.09,9325.68
2025-02-13,7号线,16454.0,60163.08,41310.94,11938.47
2025-02-13,8号线,66940.0,235309.1,169423.52,30394.0
2025-02-13,9号线,32624.0,133556.89,,15304.58
2025-02-13,14号线,,245274.49,181624.04,38254.2
2025-02-13,21号线,35749.0,,88560.98,26209.29
2025-02-14,1号线,60275.0,237711.34,169608.98,40160.5
2025-02-14,2号线,79376.0,313153.69,247488.49,35205.36
2025-02-14,3号线,60142.0,,172683.76,43553.61
2025-02-14,4号线,40880.0,168093.32,121439.29,24951.75
2025-02-14,5号线,68271.0,289089.99,218773.62,42811.45
2025-02-14,6号线,77980.0,315006.62,194146.77,33401.79
2025-02-14,7号线,19719.0,87409.03,,11616.81
2025-02-14,8号线,66153.0,269576.8,185126.76,28134.7
2025-02-14,9号线,31569.0,113664.74,79412.48,
2025-02-14,14号线,17994.0,72737.49,44088.41,9148.07
2025-02-14,21号线,44555.0,175771.73,127566.85,30502.55
2025-02-15,1号线,64794.0,263677.92,185312.63,41873.59
2025-02-15,2号线,35471.0,154517.56,119702.38,29369.18
2025-02-15,3号线,58960.0,217251.18,169993.11,26301.78
2025-02-15,4号线,65638.0,260887.27,168835.39,46333.58
2025-02-15,5号线,37912.0,149437.81,104375.67,18638.35
2025-02-15,6号线,50220.0,183406.31,116042.05,25513.31
2025-02-15,7号线,,391894.07,266226.17,48478.39
2025-02-15,8号线,49194.0,199276.77,152601.5,28514.26
2025-02-15,9号线,30690.0,125955.84,79796.03,13057.48
2025-02-15,14号线,68489.0,244452.59,184893.69,41688.59
2025-02-15,21号线,268554.0,399389.78,242364.72,79346.49
2025-02-16,1号线,82070.0,329132.64,200069.43,36932.3
2025-02-16,2号线,44993.0,186917.86,127006.16,27661.92
2025-02-16,3号线,76715.0,313803.24,242753.06,45650.21
2025-02-16,4号线,13108.0,53200.11,,5988.96
2025-02-16,5号线,39437.0,161734.51,103133.21,27993.49
2025-02-16,6号线,36758.0,145826.63,92662.61,24682.99
2025-02-16,7号线,57117.0,230713.64,139236.42,28704.17
2025-02-16,8号线,34774.0,146403.09,88731.61,28269.69
2025-02-16,9号线,65218.0,,213341.18,49448.4
2025-02-16,14号线,48252.0,195870.58,,39162.63
2025-02-16,21号线,15178.0,61337.91,40344.22,6803.05
2025-02-17,1号线,38728.0,160859.18,125514.42,30207.6
2025-02-17,2号线,102879.0,143675.17,94735.65,23693.11
2025-02-17,3号线,55135.0,204660.56,139012.52,34699.53
2025-02-17,4号线,55740.0,235356.44,166900.05,33995.34
2025-02-17,5号线,,262915.49,19153.793,46255.89
2025-02-17,6号线,32804.0,138604.23,,
2025-02-17,7号线,9354.0,37735.85,26239.21,5261.76
2025-02-17,8号线,39164.0,163340.63,129219.55,16631.88
2025-02-17,9号线,47131.0,187018.2,,36555.7
2025-02-17,14号线,16604.0,64815.22,45100.8,7742.56
2025-02-17,21号线,46862.0,186526.32,122543.05,24384.4
2025-02-18,1号线,18979.0,77422.32,55904.08,13286.84
2025-02-18,2号线,49156.0,197244.99,152250.09,35499.78
2025-02-18,3号线,69217.0,281294.87,200693.32,35346.47
2025-02-18,4号线,31763.0,126096.94,96230.84,17319.54
2025-02-18,5号线,55153.0,222147.63,160017.91,
2025-02-18,6号线,,69884.28,50470.16,9860.87
2025-02-18,7号线,40261.0,167094.23,108172.48,29751.55
2025-02-18,8号线,68693.0,287030.45,218690.22,50708.41
2025-02-18,9号线,92258.0,346192.22,219348.38,60129.22
2025-02-18,14号线,34452.0,124770.09,79315.0,16373.23
2025-02-18,21号线,46199.0,173801.15,113210.03,28364.62
2025-02-19,1号线,69915.0,279630.86,175409.07,47401.47
2025-02-19,2号线,147936.0,193179.52,116518.97,25907.11
2025-02-19,3号线,63362.0,246679.06,176542.62,31430.88
2025-02-19,4号线,69454.0,259619.37,186705.31,36377.55
2025-02-19,5号线,60428.0,226919.95,139302.7,34470.5
2025-02-19,6号线,75120.0,303566.36,221006.52,38587.76
2025-02-19,7号线,46561.0,205965.9,136939.88,27455.29
2025-02-19,8号线,17799.0,72687.62,50375.51,7705.92
2025-02-19,9号线,62034.0,256751.36,162804.9,36188.54
2025-02-19,14号线,88949.0,334189.51,,64404.26
2025-02-19,21号线,66403.0,275971.91,212058.65,41974.17
2025-02-20,1号线,69090.0,,202795.58,42341.88
2025-02-20,2号线,17604.0,67283.38,45216.27,7318.03
2025-02-20,3号线,40926.0,150518.92,115155.58,19261.96
2025-02-20,4号线,,131192.67,102839.1,19639.06
2025-02-20,5号线,11558.0,,34345.13,6852.93
2025-02-20,6号线,40360.0,170186.7,120236.26,29296.31
2025-02-20,7号线,58128.0,244045.09,150376.64,34239.04
2025-02-20,8号线,15995.0,62240.45,49261.11,9790.68
2025-02-20,9号线,14525.0,65737.86,43567.48,10559.94
2025-02-20,14号线,,194592.01,123559.65,29238.74
2025-02-20,21号线,64230.0,269737.9,168411.5,39873.57
2025-02-21,1号线,28735.0,115250.27,79119.26,15118.72
2025-02-21,2号线,41982.0,173239.74,,17329.73
2025-02-21,3号线,63726.0,260221.18,159325.6,46339.19
2025-02-21,4号线,61975.0,242806.51,151578.52,31644.37
2025-02-21,5号线,20120.0,76768.13,55550.21,12537.69
2025-02-21,6号线,67655.0,,189600.84,46562.07
2025-02-21,7号线,23465.0,97286.42,73783.84,13666.78
2025-02-21,8号线,63523.0,226474.47,157700.28,
2025-02-21,9号线,79015.0,313305.32,218144.73,31931.84
2025-02-21,14号线,29881.0,122986.61,,16277.28
2025-02-21,21号线,62458.0,249445.52,177004.52,36278.79
2025-02-22,1号线,34611.0,138166.5,91871.77,24004.45
2025-02-22,2号线,32605.0,138283.85,106743.11,19254.56
2025-02-22,3号线,69087.0,290716.78,214440.53,41793.53
2025-02-22,4号线,16697.0,66231.24,43090.82,11796.91
2025-02-22,5号线,32775.0,129292.61,100573.9,18755.44
2025-02-22,6号线,69550.0,268772.98,188798.07,45159.98
2025-02-22,7号线,76544.0,324971.41,247116.75,35921.29
2025-02-22,8号线,24401.0,103942.46,68530.0,14029.15
2025-02-22,9号线,66056.0,,170897.08,44065.75
2025-02-22,14号线,14207.0,,39657.12,10712.98
2025-02-22,21号线,75377.0,321274.24,,38735.63
2025-02-23,1号线,69078.0,283996.65,206971.32,43460.07
2025-02-23,2号线,19371.0,84454.74,63308.51,15301.25
2025-02-23,3号线,76089.0,290533.64,,39977.22
2025-02-23,4号线,77271.0,292034.8,230303.07,36232.54
2025-02-23,5号线,56543.0,249275.29,150199.08,49665.99
2025-02-23,6号线,,170569.96,131219.96,32731.12
2025-02-23,7号线,58550.0,241290.87,191990.19,42182.27
2025-02-23,8号线,69877.0,295907.77,188045.17,45718.55
2025-02-23,9号线,68063.0,271082.77,202009.79,49277.03
2025-02-23,14号线,48102.0,192025.7,128364.71,27141.23
2025-02-23,21号线,37935.0,171478.97,113092.04,26836.84
2025-02-24,1号线,62614.0,239732.64,185895.33,34372.88
2025-02-24,2号线,58130.0,235391.93,176153.77,44287.83
2025-02-24,3号线,47767.0,182942.64,139039.0,22026.95
2025-02-24,4号线,14074.0,57939.52,41890.02,9779.52
2025-02-24,5号线,79854.0,342650.49,205948.68,60340.43
2025-02-24,6号线,22525.0,93694.1,68928.48,16455.16
2025-02-24,7号线,15459.0,51473.49,32167.99,7131.01
2025-02-24,8号线,28949.0,121195.51,82207.54,17120.34
2025-02-24,9号线,11549.0,45244.76,30654.9,6344.8
2025-02-24,14号线,92095.0,369873.79,229627.81,45325.77
2025-02-24,21号线,20073.0,85143.11,62605.18,15368.24
2025-02-25,1号线,66337.0,270467.68,199898.1,47221.63
2025-02-25,2号线,34832.0,144079.32,101353.15,20750.29
2025-02-25,3号线,14360.0,52079.31,32170.43,6356.86
2025-02-25,4号线,35716.0,146983.9,100573.68,24049.17
2025-02-25,5号线,42651.0,162556.48,129756.69,28402.19
2025-02-25,6号线,25343.0,,64330.62,17277.74
2025-02-25,7号线,19151.0,79418.79,62417.08,14157.05
2025-02-25,8号线,68005.0,250330.44,193892.46,46109.2
2025-02-25,9号线,23632.0,90749.25,71462.37,15481.99
2025-02-25,14号线,36945.0,144983.6,101385.91,20831.98
2025-02-25,21号线,75255.0,295811.08,,56873.32
2025-02-26,1号线,71698.0,283871.4,185180.99,35398.16
2025-02-26,2号线,,95740.06,73620.08,12141.17
2025-02-26,3号线,49074.0,196158.4,120153.03,37396.37
2025-02-26,4号线,19615.0,81928.11,54848.3,15564.98
2025-02-26,5号线,25142.0,109065.46,68231.09,20527.6
2025-02-26,6号线,74601.0,289392.02,188692.73,50088.58
2025-02-26,7号线,,108561.26,72481.21,14207.4
2025-02-26,8号线,60615.0,256580.14,159803.02,29538.71
2025-02-26,9号线,31439.0,124723.67,91890.27,19271.12
2025-02-26,14号线,19294.0,68361.93,51841.59,10588.16
2025-02-26,21号线,76531.0,293434.9,204506.3,34207.89
2025-02-27,1号线,25420.0,106275.6,73591.51,15003.62
2025-02-27,2号线,20992.0,88179.21,66786.41,9804.96
2025-02-27,3号线,46239.0,,142973.3,28520.69
2025-02-27,4号线,19519.0,84418.42,54110.2,15852.34
2025-02-27,5号线,26733.0,103250.85,81498.74,16109.01
2025-02-27,6号线,59096.0,260246.56,161048.48,34968.37
2025-02-27,7号线,37903.0,148100.93,,21499.77
2025-02-27,8号线,69641.0,270650.8,214597.76,32580.04
2025-02-27,9号线,69172.0,266596.43,200346.25,34029.48
2025-02-27,14号线,16467.0,70086.9,54879.3,10744.52
2025-02-27,21号线,18638.0,76998.65,51077.23,14300.03
2025-02-28,1号线,95073.0,383768.0,232823.11,52334.18
2025-02-28,2号线,26530.0,99948.12,72268.45,10829.02
2025-02-28,3号线,13019.0,50663.52,33637.2,10074.02
2025-02-28,4号线,37405.0,152824.17,118650.47,
2025-02-28,5号线,19156.0,73664.9,45569.55,7582.8
2025-02-28,6号线,34882.0,,87375.99,
2025-02-28,7号线,20128.0,83459.31,55317.84,10468.48
2025-02-28,8号线,53244.0,223546.94,141896.94,38271.55
2025-02-28,9号线,38603.0,153107.98,114514.71,18239.15
2025-02-28,14号线,49205.0,211791.27,142000.75,39000.25
2025-02-28,21号线,26719.0,110437.38,66949.69,19208.31
2025-03-01,1号线,10065.0,41274.19,30173.76,8220.76
2025-03-01,2号线,50658.0,188995.07,139635.25,28588.43
2025-03-01,3号线,61209.0,242481.61,182499.19,34148.84
2025-03-01,4号线,19494.0,80578.3,59063.65,10155.18
2025-03-01,5号线,29581.0,119212.24,82186.24,17409.26
2025-03-01,6号线,11454.0,45120.47,30797.08,8132.31
2025-03-01,7号线,30296.0,120635.44,90233.0,23138.8
2025-03-01,8号线,46246.0,178542.67,141862.02,32602.59
2025-03-01,9号线,34601.0,134758.75,88442.74,
2025-03-01,14号线,13941.0,54977.67,33738.05,6945.42
2025-03-01,21号线,59300.0,,154237.94,37338.32
2025-03-02,1号线,23470.0,89824.61,54759.65,17092.68
2025-03-02,2号线,27210.0,118149.16,91974.45,14004.58
2025-03-02,3号线,36031.0,,84633.79,22071.42
2025-03-02,4号线,77740.0,332620.85,243400.3,41654.35
2025-03-02,5号线,49808.0,201606.54,124748.37,38499.32
2025-03-02,6号线,,216502.3,169334.1,31705.32
2025-03-02,7号线,64964.0,262844.47,181014.68,42241.46
2025-03-02,8号线,64645.0,268701.73,188755.64,29670.71
2025-03-02,9号线,49651.0,196857.42,155538.27,31510.0
2025-03-02,14号线,23111.0,91447.92,54922.18,9508.44
2025-03-02,21号线,38075.0,136553.29,87287.53,21995.73
2025-03-03,1号线,82452.0,318215.29,225105.97,59001.44
2025-03-03,2号线,70599.0,286472.84,188207.39,41906.74
2025-03-03,3号线,14491.0,65878.6,,12726.12
2025-03-03,4号线,57412.0,239450.67,,36674.25
2025-03-03,5号线,60477.0,242165.77,169203.48,41222.88
2025-03-03,6号线,30133.0,116597.25,79159.65,16578.13
2025-03-03,7号线,56232.0,233575.33,152205.78,39114.71
2025-03-03,8号线,30865.0,124366.15,81027.22,13176.9
2025-03-03,9号线,30976.0,127471.07,93443.74,22949.32
2025-03-03,14号线,31886.0,125586.96,85875.05,21992.51
2025-03-03,21号线,26114.0,101061.17,79671.08,16862.79
2025-03-04,1号线,63081.0,263850.09,184808.71,30049.13
2025-03-04,2号线,81272.0,329755.03,245599.77,36950.98
2025-03-04,3号线,42628.0,178334.62,125993.15,25838.07
2025-03-04,4号线,55231.0,221949.58,138629.86,34594.0
2025-03-04,5号线,66456.0,271501.93,200503.78,38822.9
2025-03-04,6号线,41900.0,,120055.79,22915.24
2025-03-04,7号线,47939.0,171083.73,,30099.63
2025-03-04,8号线,20765.0,87924.18,63324.3,
2025-03-04,9号线,48673.0,195122.85,142273.45,20386.01
2025-03-04,14号线,28292.0,110734.0,67003.99,18224.85
2025-03-04,21号线,,53465.14,33161.86,9875.76
2025-03-05,1号线,11226.0,47504.19,33820.02,5250.44
2025-03-05,2号线,15671.0,59090.12,35779.5,8895.75
2025-03-05,3号线,17441.0,,43275.48,7007.23
2025-03-05,4号线,62570.0,253145.49,196866.37,40577.78
2025-03-05,5号线,16168.0,66119.74,44769.83,8862.6
2025-03-05,6号线,38407.0,144561.7,102398.97,25470.35
2025-03-05,7号线,14826.0,62328.28,,10651.99
2025-03-05,8号线,9035.0,34576.87,27429.26,5386.07
2025-03-05,9号线,39955.0,150964.66,109486.64,22477.1
2025-03-05,14号线,79172.0,330228.13,217982.89,43782.41
2025-03-05,21号线,,196641.23,133524.81,20440.06
2025-03-06,1号线,,155863.22,123569.26,29761.37
2025-03-06,2号线,32770.0,117330.39,71289.51,20484.24
2025-03-06,3号线,37057.0,145684.46,95445.69,27346.29
2025-03-06,4号线,53317.0,213575.91,160379.33,31864.05
2025-03-06,5号线,73365.0,282818.13,191555.01,42741.61
2025-03-06,6号线,89019.0,341272.11,265813.6,49688.51
2025-03-06,7号线,32702.0,135027.97,96505.27,26412.11
2025-03-06,8号线,26484.0,101728.08,67382.63,12777.53
2025-03-06,9号线,37847.0,152862.04,92301.65,22575.33
2025-03-06,14号线,,231329.74,168614.87,42097.34
2025-03-06,21号线,19981.0,77190.76,61095.68,7787.49
2025-03-07,1号线,22982.0,85311.19,52364.51,
